	X:1
sec	Real, N
0	0.0147143
0.0003125	0.00134391
0.000625	-0.0052078
0.0009375	-0.00223606
0.00125	-0.0167444
0.0015625	-0.0219515
0.001875	-0.0130862
0.0021875	-0.00503046
0.0025	-0.00773922
0.0028125	-0.000213358
0.003125	0.0109787
0.0034375	0.00931079
0.00375	0.00179073
0.0040625	0.00244067
0.004375	0.00123747
0.0046875	-0.00429691
0.005	-0.00846741
0.0053125	-0.00388076
0.005625	0.00806762
0.0059375	0.02758
0.00625	0.0113287
0.0065625	0.0212352
0.006875	-0.00324729
0.0071875	-0.0033168
0.0075	0.0182406
0.0078125	0.0272431
0.008125	-0.0393634
0.0084375	-0.0187144
0.00875	-0.00480557
0.0090625	0.00704066
0.009375	0.0120735
0.0096875	0.00231921
0.01	0.00146594
0.0103125	-0.0106225
0.010625	-0.0212182
0.0109375	-0.0184064
0.01125	-0.0128797
0.0115625	-0.0102282
0.011875	-0.00535743
0.0121875	0.00449397
0.0125	0.00895417
0.0128125	0.00155241
0.013125	-0.00278367
0.0134375	0.000118265
0.01375	-0.00133478
0.0140625	-0.00193652
0.014375	-0.00137337
0.0146875	0.00281729
0.015	0.00239975
0.0153125	0.00429297
0.015625	0.00306677
0.0159375	0.00762375
0.01625	0.00170518
0.0165625	0.0300003
0.016875	0.0164815
0.0171875	0.0113273
0.0175	-0.009556
0.0178125	7.85552e-005
0.018125	-0.0136121
0.0184375	0.0227052
0.01875	-0.0131384
0.0190625	-0.0384282
0.019375	0.000996077
0.0196875	0.00467062
0.02	0.0145515
0.0203125	-0.000434446
0.020625	-0.00478127
0.0209375	-0.00340136
0.02125	-0.0177303
0.0215625	-0.0217466
0.021875	-0.0121013
0.0221875	-0.00501108
0.0225	-0.008087
0.0228125	0.000799475
0.023125	0.0112753
0.0234375	0.00836564
0.02375	0.00125727
0.0240625	0.00214086
0.024375	0.000955953
0.0246875	-0.0051604
0.025	-0.00853173
0.0253125	-0.00394814
0.025625	0.010789
0.0259375	0.0262736
0.02625	0.011823
0.0265625	0.0203473
0.026875	-0.00480551
0.0271875	-0.00293287
0.0275	0.0215112
0.0278125	0.0226083
0.028125	-0.0416095
0.0284375	-0.0159811
0.02875	-0.00484262
0.0290625	0.00850597
0.029375	0.0112646
0.0296875	0.00190911
0.03	0.00108369
0.0303125	-0.0116745
0.030625	-0.0218287
0.0309375	-0.0180268
0.03125	-0.0126979
0.0315625	-0.00989426
0.031875	-0.00476694
0.0321875	0.00510337
0.0325	0.00851546
0.0328125	0.0006547
0.033125	-0.00273189
0.0334375	7.97799e-005
0.03375	-0.00141831
0.0340625	-0.00188619
0.034375	-0.0010585
0.0346875	0.00260295
0.035	0.00254338
0.0353125	0.00383657
0.035625	0.0035955
0.0359375	0.00701307
0.03625	0.0023391
0.0365625	0.0312776
0.036875	0.0148257
0.0371875	0.0102037
0.0375	-0.0111535
0.0378125	0.000354266
0.038125	-0.0135559
0.0384375	0.0250335
0.03875	-0.0193775
0.0390625	-0.0350292
0.039375	0.00186212
0.0396875	0.00505631
0.04	0.014289
0.0403125	-0.00227296
0.040625	-0.00423748
0.0409375	-0.00408986
0.04125	-0.0186279
0.0415625	-0.0214165
0.041875	-0.0109991
0.0421875	-0.00524587
0.0425	-0.00768639
0.0428125	0.00217354
0.043125	0.0116148
0.0434375	0.00753721
0.04375	0.00112263
0.0440625	0.00207751
0.044375	0.000605167
0.0446875	-0.00593152
0.045	-0.00778382
0.0453125	-0.00369473
0.045625	0.0130142
0.0459375	0.0249778
0.04625	0.012713
0.0465625	0.0186245
0.046875	-0.00580573
0.0471875	-0.00186457
0.0475	0.024563
0.0478125	0.0173034
0.048125	-0.0429801
0.0484375	-0.0130119
0.04875	-0.00471643
0.0490625	0.00967099
0.049375	0.0105349
0.0496875	0.00168583
0.05	0.000451681
0.0503125	-0.0129871
0.050625	-0.021743
0.0509375	-0.0177283
0.05125	-0.0122773
0.0515625	-0.00977222
0.051875	-0.00402957
0.0521875	0.00550326
0.0525	0.00828529
0.0528125	0.00030923
0.053125	-0.00258858
0.0534375	0.000429619
0.05375	-0.00170463
0.0540625	-0.00218252
0.054375	-0.000497969
0.0546875	0.00300584
0.055	0.00284753
0.0553125	0.0039964
0.055625	0.0038939
0.0559375	0.00615696
0.05625	0.00428814
0.0565625	0.0316718
0.056875	0.0137722
0.0571875	0.0094987
0.0575	-0.0109651
0.0578125	0.000371388
0.058125	-0.0126364
0.0584375	0.0264002
0.05875	-0.0251818
0.0590625	-0.0312358
0.059375	0.00230952
