	X:1
sec	Real, N
0	0.0114011
0.0003125	0.0132823
0.000625	0.0144913
0.0009375	0.0142806
0.00125	0.0116922
0.0015625	0.00897231
0.001875	0.00350703
0.0021875	-0.00465836
0.0025	-0.00871664
0.0028125	-0.0107385
0.003125	-0.00785276
0.0034375	-0.00644986
0.00375	-0.00524196
0.0040625	-0.00359273
0.004375	-0.00123241
0.0046875	0.000185637
0.005	-0.000925376
0.0053125	-0.00102138
0.005625	-0.00431403
0.0059375	-0.00445263
0.00625	-0.00342209
0.0065625	-0.00538653
0.006875	-0.00714582
0.0071875	-0.00914072
0.0075	-0.00761712
0.0078125	-0.00608096
0.008125	-0.00080112
0.0084375	0.0026365
0.00875	0.00872363
0.0090625	0.0118917
0.009375	0.0132371
0.0096875	0.0149231
0.01	0.0132105
0.0103125	0.0100711
0.010625	0.003478
0.0109375	-0.00221087
0.01125	-0.00229876
0.0115625	-0.0020982
0.011875	-0.00159005
0.0121875	0.000392038
0.0125	0.00476997
0.0128125	0.00822774
0.013125	0.0101235
0.0134375	0.00179167
0.01375	-0.000321586
0.0140625	0.000856328
0.014375	-0.000153475
0.0146875	-0.00354088
0.015	-0.00924111
0.0153125	-0.01393
0.015625	-0.0159465
0.0159375	-0.0130154
0.01625	-0.00764389
0.0165625	-0.00463678
0.016875	-0.00270459
0.0171875	0.000358118
0.0175	0.00300273
0.0178125	0.00214858
0.018125	7.58836e-005
0.0184375	2.67313e-005
0.01875	0.000895214
0.0190625	0.00316662
0.019375	0.00548268
0.0196875	0.00981166
0.02	0.0116791
0.0203125	0.0131496
0.020625	0.0147458
0.0209375	0.0146772
0.02125	0.0120727
0.0215625	0.00927873
0.021875	0.0038625
0.0221875	-0.00417805
0.0225	-0.00844846
0.0228125	-0.0104614
0.023125	-0.00795028
0.0234375	-0.00647118
0.02375	-0.00509797
0.0240625	-0.00314738
0.024375	-0.00175679
0.0246875	0.000484443
0.025	-0.000428628
0.0253125	-0.00100517
0.025625	-0.00396843
0.0259375	-0.00471911
0.02625	-0.00327244
0.0265625	-0.00491828
0.026875	-0.00706846
0.0271875	-0.00918136
0.0275	-0.00802148
0.0278125	-0.00614336
0.028125	-0.000768497
0.0284375	0.00245507
0.02875	0.00829496
0.0290625	0.0119882
0.029375	0.0133307
0.0296875	0.0150354
0.03	0.0134774
0.0303125	0.0102208
0.030625	0.0036918
0.0309375	-0.00218577
0.03125	-0.00225671
0.0315625	-0.00241874
0.031875	-0.00172391
0.0321875	-5.26333e-006
0.0325	0.00449662
0.0328125	0.00782936
0.033125	0.010424
0.0334375	0.00213792
0.03375	-0.000484839
0.0340625	0.000934145
0.034375	-0.000148933
0.0346875	-0.00337795
0.035	-0.00935324
0.0353125	-0.0138211
0.035625	-0.0161179
