	S:1
Hz	Magnitude, N
0	0.000397035
0.390625	0.000446296
0.78125	8.53262e-005
1.17188	3.61753e-005
1.5625	2.20734e-005
1.95313	1.42769e-005
2.34375	2.19733e-005
2.73438	1.95811e-005
3.125	1.50711e-005
3.51563	8.90839e-006
3.90625	6.85747e-006
4.29688	2.93403e-006
4.6875	2.08846e-005
5.07813	2.35433e-005
5.46875	1.91708e-005
5.85938	1.18708e-005
6.25	1.43763e-005
6.64063	1.26734e-005
7.03125	1.15697e-005
7.42188	2.10749e-005
7.8125	2.0028e-005
8.20313	1.27303e-005
8.59375	1.88658e-005
8.98438	1.25752e-005
9.375	1.19568e-005
9.76563	8.28898e-006
10.1563	1.59927e-006
10.5469	1.17392e-005
10.9375	1.50048e-005
11.3281	1.13613e-005
11.7188	7.78791e-006
12.1094	1.27947e-005
12.5	1.35852e-005
12.8906	1.10912e-005
13.2813	1.28881e-005
13.6719	2.08136e-005
14.0625	1.42035e-005
14.4531	3.33789e-006
14.8438	8.37062e-006
15.2344	2.24025e-006
15.625	8.75702e-006
16.0156	8.72687e-006
16.4063	9.82199e-006
16.7969	1.56471e-005
17.1875	1.73357e-005
17.5781	1.51572e-005
17.9688	1.02959e-005
18.3594	5.96373e-006
18.75	1.14347e-006
19.1406	7.29714e-006
19.5313	1.40067e-005
19.9219	1.80276e-005
20.3125	1.14867e-005
20.7031	2.38335e-006
21.0938	5.55909e-006
21.4844	4.36481e-006
21.875	3.92756e-005
22.2656	6.05292e-005
22.6563	2.61025e-005
23.0469	9.34745e-007
23.4375	5.13675e-006
23.8281	1.19521e-005
24.2188	2.51058e-005
24.6094	3.11363e-005
25	1.74687e-005
25.3906	1.90147e-006
25.7813	1.06732e-005
26.1719	1.01358e-005
26.5625	5.82607e-006
26.9531	4.6842e-006
27.3438	7.18443e-006
27.7344	8.80202e-006
28.125	3.41433e-006
28.5156	1.62602e-006
28.9063	7.02118e-006
29.2969	1.4991e-005
29.6875	6.10334e-006
30.0781	2.12267e-006
30.4688	6.53743e-006
30.8594	6.84793e-006
31.25	6.67841e-006
31.6406	1.08179e-005
32.0313	1.17267e-005
32.4219	1.12469e-005
32.8125	7.92663e-006
33.2031	6.6469e-006
33.5938	1.12586e-005
33.9844	1.16443e-005
34.375	8.03901e-006
34.7656	1.51549e-005
35.1563	9.43859e-006
35.5469	4.80871e-006
35.9375	6.98091e-006
36.3281	3.09136e-006
36.7188	6.10677e-006
37.1094	7.08277e-006
37.5	8.84069e-006
37.8906	5.62861e-006
38.2813	1.08804e-006
38.6719	1.91345e-006
39.0625	5.91431e-007
39.4531	3.83166e-006
39.8438	5.08453e-006
40.2344	1.57639e-006
40.625	5.93443e-006
41.0156	8.48575e-006
41.4063	7.67655e-006
41.7969	2.41877e-006
42.1875	8.68743e-006
42.5781	8.52526e-006
42.9688	5.79435e-006
43.3594	2.56794e-006
43.75	1.58461e-006
44.1406	3.87174e-006
44.5313	9.00943e-006
44.9219	7.66381e-006
45.3125	1.5683e-006
45.7031	1.35589e-005
46.0938	2.13049e-005
46.4844	1.59385e-005
46.875	9.85365e-006
47.2656	5.73961e-006
47.6563	1.67792e-006
48.0469	4.86216e-006
48.4375	5.73873e-006
48.8281	1.60219e-006
49.2188	3.50907e-006
49.6094	1.80376e-006
50	1.54127e-005
50.3906	1.31613e-005
50.7813	2.39678e-006
51.1719	3.94452e-006
51.5625	3.84996e-006
51.9531	7.83935e-006
52.3438	7.32773e-006
52.7344	3.25975e-006
53.125	6.51636e-006
53.5156	7.90301e-006
53.9063	4.78204e-006
54.2969	2.86101e-006
54.6875	7.91923e-006
55.0781	6.92559e-006
55.4688	8.03718e-006
55.8594	9.12991e-006
56.25	8.08828e-006
56.6406	3.55748e-006
57.0313	4.15104e-006
57.4219	8.64668e-006
57.8125	6.96917e-006
58.2031	3.30066e-006
58.5938	2.75634e-006
58.9844	2.36304e-006
59.375	1.92966e-006
59.7656	5.36674e-006
60.1563	8.85902e-006
60.5469	8.60187e-006
60.9375	4.46423e-006
61.3281	4.54508e-007
61.7188	1.6564e-006
62.1094	1.15256e-006
62.5	2.56461e-006
62.8906	5.81039e-006
63.2813	2.66486e-006
63.6719	2.85292e-006
64.0625	3.75809e-006
64.4531	4.10939e-006
64.8438	3.63469e-006
65.2344	2.87235e-006
65.625	2.68776e-006
66.0156	2.71782e-006
66.4063	6.14218e-006
66.7969	5.73135e-006
67.1875	5.18066e-006
67.5781	3.13643e-006
67.9688	4.89991e-006
68.3594	3.65814e-006
68.75	4.33458e-007
69.1406	1.8381e-006
69.5313	4.4285e-006
69.9219	5.52385e-006
70.3125	3.35637e-006
70.7031	1.36649e-006
71.0938	2.7758e-006
71.4844	1.62676e-006
71.875	4.64605e-006
72.2656	1.73372e-006
72.6563	2.76821e-006
73.0469	5.34209e-006
73.4375	8.73398e-006
73.8281	8.15877e-006
74.2188	6.93368e-006
74.6094	2.92678e-006
75	1.81814e-006
75.3906	2.69857e-006
75.7813	3.34875e-006
76.1719	3.20018e-006
76.5625	1.34545e-006
76.9531	3.37106e-006
77.3438	4.365e-006
77.7344	5.87089e-006
78.125	4.37064e-006
78.5156	1.03007e-006
78.9063	1.68756e-006
79.2969	6.11245e-006
79.6875	7.89968e-006
80.0781	4.43715e-006
80.4688	2.60651e-006
80.8594	4.39095e-006
81.25	9.91763e-006
81.6406	5.58805e-006
82.0313	1.34027e-006
82.4219	3.86952e-006
82.8125	5.51452e-006
83.2031	4.14789e-006
83.5938	2.83779e-006
83.9844	2.25268e-006
84.375	1.07154e-006
84.7656	4.29555e-006
85.1563	5.49192e-006
85.5469	4.41582e-006
85.9375	3.7687e-006
86.3281	3.22241e-006
86.7188	1.79786e-006
87.1094	3.91483e-006
87.5	3.55665e-006
87.8906	4.14215e-006
88.2813	6.61835e-006
88.6719	3.10631e-006
89.0625	1.34494e-006
89.4531	3.88283e-006
89.8438	8.10198e-006
90.2344	5.44587e-006
90.625	2.79341e-006
91.0156	4.78597e-006
91.4063	1.62771e-006
91.7969	2.30856e-006
92.1875	3.98026e-006
92.5781	2.37404e-006
92.9688	6.28264e-006
93.3594	4.46988e-006
93.75	8.50144e-007
94.1406	1.60466e-006
94.5313	2.8815e-006
94.9219	3.46696e-007
95.3125	1.32108e-006
95.7031	4.26065e-006
96.0938	5.09187e-006
96.4844	4.70466e-006
96.875	5.16322e-006
97.2656	5.27704e-006
97.6563	1.3211e-005
98.0469	7.98256e-006
