	X:1
sec	Real, N
0	0.00712298
0.0003125	0.0049038
0.000625	-0.00468632
0.0009375	-0.0121604
0.00125	-0.0163843
0.0015625	-0.0190938
0.001875	-0.0151781
0.0021875	-0.00720398
0.0025	-0.00250253
0.0028125	0.000258293
0.003125	0.00598934
0.0034375	0.00800664
0.00375	0.00497619
0.0040625	0.000885737
0.004375	0.00407939
0.0046875	0.0125432
0.005	0.00894128
0.0053125	0.0146004
0.005625	0.0186618
0.0059375	0.0168609
0.00625	0.000492346
0.0065625	-0.00334132
0.006875	-0.00186911
0.0071875	-0.00616049
0.0075	-0.00503068
0.0078125	0.0196575
0.008125	0.00557545
0.0084375	-0.00484422
0.00875	0.00483247
0.0090625	0.00964537
0.009375	0.00607103
0.0096875	-0.00407092
0.01	-0.00922511
0.0103125	-0.0168724
0.010625	-0.0223507
0.0109375	-0.0179524
0.01125	-0.00965217
0.0115625	-0.005227
0.011875	-0.00217902
0.0121875	0.00615088
0.0125	0.00951183
0.0128125	0.00357481
0.013125	-0.00183198
0.0134375	-0.0029991
0.01375	-0.00296974
0.0140625	-0.00342953
0.014375	0.000479512
0.0146875	0.00627266
0.015	0.0078722
0.0153125	0.0123117
0.015625	0.0213867
0.0159375	0.0185284
0.01625	0.0180306
0.0165625	0.0149825
0.016875	0.0100937
0.0171875	-0.0033404
0.0175	-0.0120375
0.0178125	-0.0137563
0.018125	-0.0130984
0.0184375	-0.0103548
0.01875	0.00677966
0.0190625	0.00744318
0.019375	-0.0022948
0.0196875	0.00326512
0.02	0.00696258
0.0203125	0.0046097
0.020625	-0.00473373
0.0209375	-0.0120625
0.02125	-0.0163922
0.0215625	-0.0188385
0.021875	-0.0149504
0.0221875	-0.00703081
0.0225	-0.00251726
0.0228125	0.000363528
0.023125	0.0062748
0.0234375	0.00781185
0.02375	0.00493119
0.0240625	0.00106616
0.024375	0.00418803
0.0246875	0.0123527
0.025	0.00903969
0.0253125	0.0144956
0.025625	0.0184863
0.0259375	0.0168989
0.02625	0.000535721
0.0265625	-0.00351581
0.026875	-0.00182758
0.0271875	-0.00597336
0.0275	-0.00519232
0.0278125	0.0197994
0.028125	0.00555283
0.0284375	-0.00489938
0.02875	0.00508653
0.0290625	0.00948917
0.029375	0.00620827
0.0296875	-0.00383589
0.03	-0.00940728
0.0303125	-0.0168939
0.030625	-0.0225128
0.0309375	-0.0180682
0.03125	-0.0095293
0.0315625	-0.00509775
0.031875	-0.002152
0.0321875	0.00641349
0.0325	0.00949401
0.0328125	0.00367094
0.033125	-0.00183628
0.0334375	-0.00266752
0.03375	-0.00321278
0.0340625	-0.00338491
0.034375	0.000335064
0.0346875	0.00625484
