	S:1
Hz	Magnitude, N
0	0.000257545
0.390625	0.000191229
0.78125	0.000181584
1.17188	0.000127871
1.5625	4.30103e-005
1.95313	1.99308e-005
2.34375	1.24937e-005
2.73438	2.07895e-005
3.125	2.50127e-005
3.51563	1.34707e-005
3.90625	7.96434e-006
4.29688	6.49819e-006
4.6875	1.22042e-005
5.07813	9.18799e-006
5.46875	7.0984e-006
5.85938	1.86514e-005
6.25	1.0991e-005
6.64063	4.34751e-006
7.03125	6.13417e-006
7.42188	1.46174e-005
7.8125	1.80053e-005
8.20313	1.36425e-005
8.59375	1.42017e-005
8.98438	8.9186e-006
9.375	6.24769e-006
9.76563	2.49054e-005
10.1563	2.72236e-005
10.5469	2.62222e-005
10.9375	2.11769e-005
11.3281	4.4493e-006
11.7188	1.15521e-005
12.1094	9.79854e-006
12.5	3.70921e-007
12.8906	1.22248e-005
13.2813	1.67481e-005
13.6719	1.13447e-005
14.0625	1.27374e-005
14.4531	1.17074e-005
14.8438	3.84784e-006
15.2344	2.24188e-006
15.625	6.53129e-006
16.0156	1.06252e-005
16.4063	9.48836e-006
16.7969	5.41913e-006
17.1875	3.53407e-006
17.5781	7.96569e-006
17.9688	7.46889e-006
18.3594	6.20703e-006
18.75	5.44145e-006
19.1406	5.3905e-006
19.5313	3.61141e-006
19.9219	7.33216e-006
20.3125	2.72295e-006
20.7031	1.17354e-005
21.0938	7.09663e-006
21.4844	8.5421e-006
21.875	2.03138e-005
22.2656	1.91253e-005
22.6563	4.34358e-006
23.0469	4.66872e-006
23.4375	5.96185e-006
23.8281	8.98505e-006
24.2188	1.29994e-005
24.6094	1.31319e-005
25	7.53367e-006
25.3906	3.42419e-006
25.7813	1.56995e-005
26.1719	2.91001e-005
26.5625	2.47953e-005
26.9531	6.01688e-006
27.3438	1.78113e-005
27.7344	2.84546e-005
28.125	2.45153e-005
28.5156	1.8918e-005
28.9063	1.03082e-005
29.2969	1.62018e-005
29.6875	2.75058e-005
30.0781	1.77074e-005
30.4688	1.13885e-005
30.8594	2.04663e-005
31.25	3.59169e-005
31.6406	1.96969e-005
32.0313	1.41369e-005
32.4219	3.59755e-005
32.8125	4.52256e-005
33.2031	1.21032e-005
