	S:1
Hz	Magnitude, N
0	0.000142185
0.390625	0.000137628
0.78125	5.20411e-006
1.17188	4.4249e-005
1.5625	3.57977e-005
1.95313	1.08556e-005
2.34375	1.4459e-005
2.73438	1.11107e-005
3.125	1.04893e-005
3.51563	1.10519e-005
3.90625	2.16926e-005
4.29688	2.61414e-005
4.6875	2.12872e-005
5.07813	2.60209e-005
5.46875	2.58924e-005
5.85938	9.99984e-006
6.25	7.5972e-006
6.64063	1.72037e-005
7.03125	1.58003e-005
7.42188	5.0474e-006
7.8125	1.48739e-005
8.20313	1.31597e-005
8.59375	6.10912e-006
8.98438	5.84122e-006
9.375	5.35743e-006
9.76563	8.12534e-006
10.1563	2.13528e-005
10.5469	1.84529e-005
10.9375	1.64946e-005
11.3281	2.29561e-005
11.7188	1.98696e-005
12.1094	9.00219e-006
12.5	4.85453e-006
12.8906	2.87545e-006
13.2813	7.91175e-006
13.6719	1.00615e-005
14.0625	7.71135e-006
14.4531	3.75356e-006
14.8438	1.19114e-005
15.2344	1.53861e-005
15.625	9.76768e-006
16.0156	1.31306e-005
16.4063	7.87181e-006
16.7969	8.79623e-006
17.1875	1.49874e-005
17.5781	1.20703e-005
17.9688	1.3721e-005
18.3594	9.14253e-006
18.75	5.45587e-006
19.1406	1.27758e-005
19.5313	1.36277e-005
19.9219	5.65709e-006
20.3125	1.02019e-005
20.7031	1.36605e-006
21.0938	7.47498e-006
21.4844	1.01262e-005
21.875	4.96649e-006
22.2656	1.39045e-005
22.6563	1.39139e-005
23.0469	5.04044e-006
23.4375	1.12553e-006
23.8281	5.6727e-006
24.2188	1.7184e-005
24.6094	1.34213e-005
25	6.46625e-006
25.3906	9.52059e-006
25.7813	1.27122e-005
26.1719	3.21732e-006
26.5625	6.85691e-006
26.9531	7.84689e-006
27.3438	3.77948e-006
27.7344	6.26594e-006
28.125	1.04673e-005
28.5156	3.76073e-006
28.9063	4.90864e-006
29.2969	6.74859e-006
29.6875	6.0333e-006
30.0781	3.48189e-006
30.4688	6.29349e-006
30.8594	1.2388e-005
31.25	4.94297e-006
31.6406	3.65516e-006
32.0313	1.4272e-005
32.4219	2.11236e-005
32.8125	1.22698e-005
33.2031	4.01911e-006
33.5938	6.17264e-006
33.9844	5.58596e-006
34.375	4.79476e-006
34.7656	9.55537e-006
35.1563	1.47723e-005
35.5469	9.48761e-006
35.9375	3.62935e-006
36.3281	9.02039e-006
36.7188	4.49126e-006
37.1094	2.93294e-006
37.5	7.66295e-006
37.8906	8.36432e-006
38.2813	9.39283e-006
38.6719	9.65329e-006
39.0625	2.75664e-006
39.4531	3.15146e-006
39.8438	4.38267e-006
40.2344	8.45339e-006
40.625	6.47568e-006
41.0156	4.2335e-006
41.4063	6.66858e-006
41.7969	5.01585e-006
42.1875	5.26859e-006
42.5781	3.71001e-006
42.9688	5.92199e-006
43.3594	1.03381e-005
43.75	3.79382e-006
44.1406	3.4275e-006
44.5313	2.36387e-006
44.9219	4.0849e-006
45.3125	6.77855e-006
45.7031	9.15884e-006
46.0938	8.94229e-006
46.4844	4.18243e-006
46.875	6.53592e-007
47.2656	4.55815e-006
47.6563	4.78367e-006
48.0469	7.70515e-006
48.4375	6.90924e-006
48.8281	2.397e-006
49.2188	1.25438e-005
49.6094	8.31586e-006
50	3.29587e-006
50.3906	1.13964e-006
50.7813	2.62603e-006
51.1719	5.94125e-006
51.5625	5.62731e-006
51.9531	3.04001e-006
52.3438	7.34779e-006
52.7344	5.77439e-006
53.125	1.08431e-006
53.5156	3.29631e-006
53.9063	2.92063e-006
54.2969	2.38002e-006
54.6875	2.7528e-006
55.0781	3.00034e-006
55.4688	3.97684e-006
55.8594	1.44203e-006
56.25	3.05249e-006
56.6406	5.00985e-006
57.0313	6.97778e-006
57.4219	6.67169e-006
57.8125	6.53542e-006
58.2031	4.41164e-006
58.5938	5.01083e-007
58.9844	3.8458e-006
59.375	8.22761e-006
59.7656	8.01135e-006
60.1563	5.63906e-006
60.5469	4.6596e-006
60.9375	6.51117e-006
61.3281	2.83479e-006
61.7188	2.10565e-006
62.1094	2.22265e-006
62.5	1.0253e-006
62.8906	9.25078e-007
63.2813	3.47283e-006
63.6719	5.70952e-006
64.0625	3.90966e-006
64.4531	2.773e-006
64.8438	3.8796e-006
65.2344	6.13152e-006
65.625	5.05715e-006
66.0156	4.3419e-006
66.4063	1.04881e-005
66.7969	8.21044e-006
67.1875	4.40172e-006
67.5781	1.48401e-006
67.9688	8.17035e-006
68.3594	4.48932e-006
68.75	5.22596e-006
69.1406	2.64571e-006
69.5313	3.82021e-006
69.9219	2.62029e-006
70.3125	2.75758e-006
70.7031	1.70001e-006
71.0938	5.3103e-006
71.4844	4.97654e-006
71.875	3.32588e-006
72.2656	1.4781e-006
72.6563	3.72543e-006
73.0469	2.06971e-006
73.4375	7.44225e-006
73.8281	6.04815e-006
74.2188	5.46128e-006
74.6094	3.29872e-006
75	3.53891e-006
75.3906	4.58932e-006
75.7813	3.29134e-006
76.1719	1.12727e-006
76.5625	2.16314e-006
76.9531	4.21679e-006
77.3438	2.61221e-006
77.7344	1.73453e-006
78.125	3.12838e-006
78.5156	2.42078e-006
78.9063	4.28584e-006
79.2969	3.54267e-006
79.6875	6.40716e-006
80.0781	6.61745e-006
80.4688	3.89358e-006
80.8594	3.09358e-006
81.25	3.03707e-006
81.6406	3.36191e-006
82.0313	3.20635e-006
82.4219	5.80215e-006
82.8125	4.93038e-006
83.2031	9.8217e-007
83.5938	7.36998e-008
83.9844	4.20098e-006
84.375	5.96986e-006
84.7656	1.47024e-006
85.1563	5.97898e-006
85.5469	6.91058e-006
85.9375	2.22311e-006
86.3281	5.9766e-006
86.7188	9.04501e-007
87.1094	5.42754e-006
87.5	1.01859e-006
87.8906	4.09994e-006
88.2813	6.5844e-006
88.6719	2.53392e-006
89.0625	2.0201e-006
89.4531	4.57985e-006
89.8438	3.99632e-007
90.2344	5.60577e-007
90.625	6.17458e-006
91.0156	2.76948e-006
91.4063	7.72284e-007
91.7969	3.54911e-006
92.1875	7.62384e-006
92.5781	8.27268e-006
92.9688	3.35107e-006
93.3594	2.68469e-006
93.75	4.63165e-006
94.1406	4.2654e-007
94.5313	4.17912e-006
94.9219	1.9664e-006
95.3125	3.26991e-006
95.7031	5.20921e-006
96.0938	7.51396e-006
96.4844	3.37755e-006
96.875	2.83051e-006
97.2656	6.13149e-006
97.6563	2.19516e-006
98.0469	1.07442e-006
98.4375	3.15226e-006
98.8281	2.46311e-006
99.2188	2.18988e-006
99.6094	2.14426e-006
100	1.99924e-006
100.391	3.35132e-006
100.781	5.83045e-006
101.172	9.0701e-006
101.563	8.37614e-006
101.953	7.05244e-006
102.344	6.81192e-006
102.734	5.23773e-006
103.125	2.4507e-006
103.516	3.17956e-006
103.906	4.28051e-006
104.297	8.29175e-006
104.688	6.89139e-006
105.078	4.16419e-006
105.469	3.27881e-006
105.859	2.57099e-006
106.25	1.76775e-006
106.641	6.66784e-006
107.031	7.63472e-006
107.422	3.67574e-006
107.813	1.96621e-006
108.203	5.93523e-006
108.594	8.00734e-006
108.984	4.33512e-006
109.375	9.1247e-007
109.766	1.7262e-006
110.156	2.96919e-007
110.547	1.84937e-006
110.938	2.71713e-006
111.328	3.82391e-006
111.719	6.61332e-006
112.109	4.335e-006
112.5	1.90935e-006
112.891	2.13039e-006
113.281	3.16794e-006
113.672	5.03382e-006
114.063	4.82383e-006
114.453	2.44081e-006
114.844	8.12883e-006
115.234	9.92045e-006
115.625	1.09286e-005
116.016	8.16451e-006
116.406	7.57414e-006
116.797	4.04795e-006
117.188	7.39812e-006
117.578	4.0596e-006
117.969	1.45008e-006
118.359	2.73724e-006
118.75	2.44791e-006
119.141	2.44149e-006
119.531	2.92996e-006
119.922	5.26264e-006
120.313	4.85652e-006
120.703	6.1688e-006
121.094	7.73488e-006
121.484	5.57354e-006
121.875	3.44557e-006
122.266	6.28133e-006
122.656	3.63031e-006
123.047	2.3744e-006
123.438	3.43369e-006
123.828	2.35049e-006
124.219	1.12434e-006
124.609	1.82749e-006
125	4.17968e-006
125.391	4.34414e-006
125.781	3.24712e-006
126.172	2.32182e-006
126.563	4.34547e-006
126.953	2.08709e-006
127.344	1.00122e-006
127.734	3.07663e-006
128.125	2.73612e-006
128.516	2.14311e-006
128.906	4.92206e-006
129.297	4.76686e-006
129.688	1.75917e-006
130.078	3.31631e-006
130.469	5.59473e-006
130.859	4.05941e-006
131.25	2.41902e-006
131.641	4.73717e-006
132.031	7.76591e-006
132.422	5.57224e-006
132.813	6.13334e-006
133.203	8.01061e-006
133.594	6.26545e-006
133.984	3.61606e-006
134.375	3.60264e-006
134.766	3.58693e-006
135.156	1.59669e-006
135.547	2.21055e-006
135.938	4.48423e-006
136.328	7.11605e-006
136.719	9.43908e-006
137.109	2.90797e-006
137.5	4.32566e-006
137.891	7.34001e-006
138.281	7.34741e-006
138.672	3.49206e-006
139.063	4.612e-006
139.453	6.62304e-006
139.844	6.60948e-006
140.234	2.42147e-006
140.625	7.93968e-007
141.016	4.07214e-006
141.406	3.9652e-006
141.797	5.30814e-006
142.188	4.13864e-006
142.578	1.44572e-006
142.969	6.18997e-006
143.359	4.5351e-006
143.75	4.06162e-006
144.141	5.14831e-006
144.531	9.0177e-007
144.922	4.40488e-006
145.313	2.30186e-006
145.703	4.55856e-006
146.094	3.23261e-006
146.484	6.81267e-006
146.875	7.07439e-006
147.266	2.7011e-006
147.656	7.5406e-007
148.047	2.0185e-006
148.438	2.95707e-006
148.828	2.06215e-006
149.219	1.98977e-006
149.609	5.38335e-006
150	4.93848e-006
150.391	1.95141e-006
150.781	5.68556e-006
151.172	5.46901e-006
151.563	7.37608e-006
151.953	8.26413e-006
152.344	8.69516e-006
152.734	2.4774e-006
153.125	3.97898e-006
153.516	3.70132e-006
153.906	2.41721e-006
154.297	5.33387e-006
154.688	4.30202e-006
155.078	2.65383e-006
155.469	1.65486e-006
155.859	3.11006e-006
156.25	3.33834e-006
156.641	1.87234e-006
157.031	2.86223e-006
157.422	1.9892e-006
157.813	4.2365e-006
158.203	5.76147e-006
158.594	3.10423e-006
158.984	7.73333e-007
159.375	3.81055e-006
159.766	7.10006e-006
160.156	4.97893e-006
160.547	3.55236e-006
160.938	2.23494e-006
161.328	1.72985e-006
161.719	2.67487e-006
162.109	1.89901e-006
162.5	5.18355e-006
162.891	6.73808e-006
163.281	5.43896e-006
163.672	4.1593e-006
164.063	5.71474e-006
164.453	4.18725e-006
164.844	4.44733e-006
165.234	4.84344e-006
165.625	4.4595e-006
166.016	9.57163e-006
166.406	5.20117e-006
166.797	3.89411e-006
167.188	3.40107e-006
167.578	1.76662e-005
167.969	1.67551e-005
168.359	8.64685e-006
168.75	7.169e-006
169.141	6.60561e-006
169.531	8.08863e-006
169.922	6.69774e-006
170.313	4.56957e-006
170.703	7.92707e-006
171.094	3.4211e-006
171.484	2.60814e-006
171.875	4.54152e-006
172.266	6.32974e-006
172.656	2.83233e-006
173.047	4.39961e-006
173.438	2.11589e-006
173.828	3.45968e-006
174.219	4.87596e-006
174.609	1.61863e-006
175	5.60804e-006
175.391	6.89225e-006
175.781	1.03688e-005
176.172	9.36551e-006
176.563	4.30781e-006
176.953	1.61996e-006
177.344	3.67548e-006
177.734	5.87744e-007
178.125	2.88415e-006
178.516	4.53676e-006
178.906	6.09176e-006
179.297	2.49727e-006
179.688	3.08477e-007
180.078	2.57699e-006
180.469	2.68889e-006
180.859	2.0619e-006
181.25	2.49578e-006
181.641	3.83116e-006
182.031	1.69425e-006
182.422	1.0412e-006
182.813	2.02257e-006
183.203	1.4444e-006
183.594	5.80605e-006
183.984	8.21514e-006
184.375	9.63298e-006
184.766	4.48251e-006
185.156	2.01175e-006
185.547	7.79476e-007
185.938	1.29276e-006
186.328	2.08306e-006
186.719	2.01e-006
187.109	3.39671e-006
187.5	4.45439e-006
187.891	3.90459e-006
188.281	1.69902e-006
188.672	2.09745e-006
189.063	8.775e-007
189.453	3.59216e-006
189.844	6.18209e-006
190.234	3.69046e-006
190.625	6.99221e-006
191.016	4.81766e-006
191.406	1.50615e-006
191.797	2.1251e-006
192.188	1.50043e-006
192.578	1.75938e-006
192.969	1.61426e-006
193.359	2.88441e-006
193.75	2.37786e-006
194.141	4.12179e-006
194.531	4.29161e-006
194.922	1.39959e-006
195.313	5.35758e-006
195.703	6.99846e-006
196.094	3.01739e-006
196.484	3.78154e-007
196.875	3.31145e-006
197.266	4.78868e-006
197.656	4.33518e-006
198.047	6.88335e-006
198.438	7.14596e-006
198.828	3.56721e-006
199.219	3.40224e-006
199.609	3.66287e-007
200	3.08691e-006
200.391	4.91859e-006
200.781	2.83688e-006
201.172	3.91781e-006
201.563	1.97528e-006
201.953	4.10471e-006
202.344	5.66905e-006
202.734	4.281e-006
203.125	5.65944e-006
203.516	6.10089e-006
203.906	3.42335e-006
204.297	2.25902e-006
204.688	3.33236e-006
205.078	2.15112e-006
205.469	1.77725e-006
205.859	2.60637e-006
206.25	1.62546e-006
206.641	2.68718e-006
207.031	3.82433e-006
207.422	4.99453e-006
207.813	4.31754e-006
208.203	4.34298e-006
208.594	6.02017e-006
208.984	2.31277e-006
209.375	1.36939e-005
209.766	1.90439e-005
210.156	7.82282e-006
210.547	2.73966e-006
210.938	2.83623e-006
211.328	3.45988e-006
211.719	3.62199e-006
212.109	4.52423e-006
212.5	4.30071e-006
212.891	1.36614e-006
213.281	2.13299e-006
213.672	3.06098e-007
214.063	4.33935e-006
214.453	1.04333e-005
214.844	7.25215e-006
215.234	3.89924e-006
215.625	3.53524e-006
216.016	3.59702e-006
216.406	3.63128e-006
216.797	3.85773e-006
217.188	5.35404e-006
217.578	3.72466e-006
217.969	2.24296e-006
218.359	5.539e-006
218.75	3.4307e-006
219.141	2.27484e-006
219.531	3.53093e-006
219.922	2.77197e-006
220.313	7.03459e-007
220.703	2.78724e-006
221.094	2.24253e-006
221.484	2.20985e-006
221.875	2.15595e-006
222.266	2.05195e-007
222.656	3.18128e-006
223.047	4.89565e-006
223.438	7.04436e-006
223.828	5.16085e-006
224.219	9.06284e-007
224.609	8.75355e-007
225	1.62937e-006
225.391	3.26357e-006
225.781	8.1358e-006
226.172	5.80077e-006
226.563	4.7188e-006
226.953	3.7471e-006
227.344	5.55179e-006
227.734	3.26347e-006
228.125	1.33467e-006
228.516	5.99345e-006
228.906	8.95894e-006
229.297	7.73024e-006
229.688	6.35001e-006
230.078	4.7329e-006
230.469	3.48765e-006
230.859	1.18932e-006
231.25	5.03901e-006
231.641	7.36686e-006
232.031	2.74913e-006
232.422	2.93267e-006
232.813	2.18974e-006
233.203	1.0654e-006
233.594	2.45166e-006
233.984	8.49061e-007
234.375	1.92277e-006
234.766	1.66607e-006
235.156	2.52451e-006
235.547	5.00673e-006
235.938	4.39625e-006
236.328	2.96216e-006
236.719	3.36271e-006
237.109	6.86559e-007
237.5	3.68392e-006
237.891	2.93393e-006
238.281	2.75855e-006
238.672	7.16017e-006
239.063	3.61329e-006
239.453	2.60175e-006
239.844	4.68739e-006
240.234	5.1989e-006
240.625	3.34947e-006
241.016	1.88067e-006
241.406	2.14527e-006
241.797	2.11349e-006
242.188	4.71127e-007
242.578	2.03869e-006
242.969	7.50215e-007
243.359	2.09201e-006
243.75	2.76048e-006
244.141	2.67025e-006
244.531	5.92485e-006
244.922	4.31022e-006
245.313	3.5216e-006
245.703	5.05504e-006
246.094	1.89121e-006
246.484	1.98647e-006
246.875	4.75458e-006
247.266	4.79489e-006
247.656	2.3571e-006
248.047	1.69441e-006
248.438	4.29791e-006
248.828	4.94168e-006
249.219	3.42644e-006
249.609	2.4319e-006
250	3.92625e-006
250.391	4.85237e-006
250.781	2.96511e-006
251.172	1.22432e-006
251.563	3.19987e-006
251.953	3.544e-006
252.344	4.00921e-006
252.734	4.36596e-006
253.125	2.77271e-006
253.516	3.08236e-006
253.906	5.0479e-006
254.297	6.9177e-006
254.688	5.91797e-006
255.078	4.66407e-006
255.469	3.25623e-006
255.859	9.94716e-007
256.25	2.2311e-006
256.641	5.57432e-006
257.031	6.53988e-006
257.422	3.82487e-006
257.813	2.42454e-006
258.203	3.9329e-006
258.594	3.06188e-006
258.984	4.1591e-006
259.375	2.41008e-006
259.766	8.21902e-007
260.156	2.07978e-006
260.547	2.71447e-006
260.938	2.57975e-006
261.328	1.49374e-006
261.719	1.44329e-006
262.109	1.38665e-006
262.5	3.62653e-006
262.891	2.33328e-006
263.281	2.5984e-006
263.672	6.78948e-006
264.063	6.31758e-006
264.453	4.28338e-006
264.844	3.02849e-006
265.234	3.60605e-006
265.625	5.29309e-006
266.016	9.83776e-007
266.406	3.71331e-006
266.797	3.93282e-006
267.188	3.40114e-006
267.578	3.26542e-006
267.969	2.033e-006
268.359	1.27715e-006
268.75	5.6262e-006
269.141	6.43447e-006
269.531	3.60947e-006
269.922	5.83123e-007
270.313	4.8499e-006
270.703	8.66622e-006
271.094	7.33101e-006
271.484	3.07166e-006
271.875	1.05021e-006
272.266	3.77464e-006
272.656	7.3002e-006
273.047	4.40767e-006
273.438	5.09067e-006
273.828	4.21981e-006
274.219	6.90047e-007
274.609	1.89802e-006
275	4.53192e-006
275.391	6.19558e-006
275.781	5.29176e-006
276.172	4.04677e-006
276.563	3.76993e-006
276.953	1.27316e-006
277.344	3.38031e-006
277.734	1.66673e-006
278.125	2.04489e-006
278.516	4.72263e-006
278.906	2.55263e-006
279.297	2.72255e-006
279.688	4.16129e-006
280.078	5.17513e-006
280.469	4.51395e-006
280.859	3.10031e-006
281.25	1.76503e-006
281.641	7.85172e-007
282.031	1.68144e-006
282.422	1.44124e-006
