	S:1
Hz	Magnitude, N
0	0.000519036
0.390625	0.000570466
0.78125	8.9679e-005
1.17188	4.71342e-005
1.5625	1.62351e-005
1.95313	1.68806e-005
2.34375	6.5779e-006
2.73438	1.12251e-005
3.125	1.02633e-005
3.51563	3.38798e-006
3.90625	5.4281e-006
4.29688	1.75245e-005
4.6875	2.05585e-005
5.07813	6.20605e-006
5.46875	2.3645e-005
5.85938	1.99886e-005
6.25	1.50185e-005
6.64063	1.62163e-005
7.03125	5.85396e-006
7.42188	2.33733e-005
7.8125	1.20941e-005
8.20313	1.21614e-005
8.59375	1.61244e-005
8.98438	1.25441e-005
9.375	1.79178e-005
9.76563	1.50417e-005
10.1563	1.06631e-005
10.5469	1.17099e-005
10.9375	1.30613e-005
11.3281	1.65546e-005
11.7188	8.63292e-006
12.1094	6.63329e-006
12.5	8.21612e-006
12.8906	7.28966e-006
13.2813	2.04589e-006
13.6719	3.41217e-006
14.0625	3.1207e-006
14.4531	1.14168e-005
14.8438	1.18522e-005
15.2344	5.42079e-006
15.625	5.17036e-006
16.0156	4.3389e-006
16.4063	8.38956e-006
16.7969	1.588e-005
17.1875	1.2647e-005
17.5781	1.3475e-006
17.9688	3.8238e-006
18.3594	4.47597e-006
18.75	5.27464e-006
19.1406	7.35288e-006
19.5313	4.24557e-007
19.9219	9.01762e-006
20.3125	4.33842e-006
20.7031	7.96142e-006
21.0938	5.57748e-006
21.4844	5.04899e-006
21.875	6.669e-006
22.2656	6.473e-006
22.6563	5.9224e-006
23.0469	3.92728e-006
23.4375	4.56725e-006
23.8281	9.38609e-006
24.2188	1.35422e-005
24.6094	1.30574e-005
25	1.14994e-005
25.3906	2.15713e-006
25.7813	8.389e-007
26.1719	4.60304e-006
26.5625	5.80168e-006
26.9531	2.55767e-006
27.3438	8.79099e-006
27.7344	1.58294e-005
28.125	5.97053e-006
28.5156	6.24817e-007
28.9063	6.65139e-006
29.2969	5.0838e-006
29.6875	6.72205e-006
30.0781	6.23628e-006
30.4688	7.98866e-006
30.8594	7.8432e-006
31.25	4.71923e-006
31.6406	6.46406e-006
32.0313	1.45011e-005
32.4219	1.15154e-005
32.8125	1.26437e-005
33.2031	2.71667e-005
33.5938	1.31165e-005
33.9844	1.54464e-005
34.375	1.97062e-005
34.7656	7.04223e-006
35.1563	6.79498e-006
35.5469	9.82153e-006
35.9375	9.4348e-006
36.3281	9.07948e-006
36.7188	6.26905e-006
37.1094	7.19248e-006
37.5	1.02326e-005
37.8906	8.60523e-006
38.2813	1.04682e-005
38.6719	1.11311e-005
39.0625	8.2937e-006
39.4531	2.62421e-006
39.8438	3.11345e-006
40.2344	6.6162e-006
40.625	4.72664e-006
41.0156	1.50973e-006
41.4063	2.85715e-006
41.7969	2.68793e-006
42.1875	4.14579e-006
42.5781	5.00314e-006
42.9688	6.04586e-006
43.3594	5.04456e-006
43.75	4.26011e-006
44.1406	6.65227e-007
44.5313	5.43857e-006
44.9219	9.39047e-006
45.3125	6.46081e-006
45.7031	4.22963e-006
46.0938	1.23817e-005
46.4844	6.89383e-006
46.875	1.82892e-006
47.2656	4.27485e-006
47.6563	4.51007e-006
48.0469	2.7011e-006
48.4375	6.74135e-006
48.8281	5.12659e-006
49.2188	3.3607e-006
49.6094	4.11457e-006
50	9.8781e-006
50.3906	4.80171e-006
50.7813	4.99558e-006
51.1719	3.93643e-006
51.5625	3.32579e-006
51.9531	3.77792e-006
52.3438	4.42199e-006
52.7344	4.64665e-006
53.125	3.90481e-006
53.5156	6.66022e-006
53.9063	5.10901e-006
54.2969	4.79549e-006
54.6875	4.71402e-006
55.0781	1.10746e-006
55.4688	1.45029e-006
55.8594	3.47913e-006
56.25	4.3411e-006
56.6406	3.75425e-006
57.0313	3.40362e-006
57.4219	7.44645e-006
57.8125	9.13826e-006
58.2031	1.99581e-006
58.5938	5.00296e-006
58.9844	4.47498e-006
59.375	1.46594e-006
59.7656	6.5778e-006
60.1563	9.15072e-006
60.5469	8.84333e-007
60.9375	3.50639e-006
61.3281	4.05133e-006
61.7188	1.55762e-006
62.1094	2.40473e-006
62.5	4.83794e-006
62.8906	9.8343e-006
63.2813	9.70178e-006
63.6719	4.74382e-006
64.0625	3.89331e-006
64.4531	6.95002e-006
64.8438	5.46636e-006
65.2344	3.06782e-006
65.625	6.92999e-006
66.0156	7.34543e-006
66.4063	3.97061e-006
66.7969	1.75689e-006
67.1875	5.70647e-006
67.5781	8.2137e-006
67.9688	5.32549e-006
68.3594	3.78806e-006
68.75	1.39e-006
69.1406	4.76413e-006
69.5313	8.25984e-006
69.9219	7.92927e-006
70.3125	6.34979e-006
70.7031	4.25717e-006
71.0938	4.8383e-007
71.4844	3.07812e-006
71.875	2.26968e-006
72.2656	2.72676e-006
72.6563	3.38764e-006
73.0469	2.72536e-006
73.4375	2.97929e-006
73.8281	4.92459e-006
74.2188	1.2227e-006
74.6094	5.75521e-006
75	4.10354e-006
75.3906	2.3436e-006
75.7813	4.66038e-007
76.1719	2.57079e-006
76.5625	6.05856e-006
76.9531	7.20407e-006
77.3438	1.02744e-005
77.7344	6.09848e-006
78.125	1.64883e-006
78.5156	1.97044e-006
78.9063	3.19294e-006
79.2969	1.78866e-006
79.6875	2.18173e-006
80.0781	3.72762e-006
80.4688	4.73239e-006
80.8594	3.11433e-006
81.25	3.25828e-006
81.6406	8.38721e-007
82.0313	6.01238e-007
82.4219	1.51132e-006
82.8125	2.79215e-006
83.2031	3.97277e-006
83.5938	3.31955e-006
83.9844	4.84373e-006
84.375	6.68026e-006
84.7656	4.26392e-006
85.1563	3.38822e-006
85.5469	4.96799e-006
85.9375	6.17076e-006
86.3281	7.54718e-006
86.7188	6.37389e-006
87.1094	1.7614e-006
87.5	3.75511e-006
87.8906	3.44906e-006
88.2813	3.5368e-006
88.6719	1.81327e-006
89.0625	2.33618e-006
89.4531	2.3422e-006
89.8438	2.74349e-006
90.2344	2.50011e-006
90.625	4.01554e-006
91.0156	3.59431e-006
91.4063	6.82305e-006
91.7969	8.53537e-006
92.1875	6.55179e-006
92.5781	2.86808e-006
92.9688	7.45509e-006
93.3594	4.52684e-006
93.75	7.53672e-007
94.1406	1.56955e-006
94.5313	3.94888e-006
94.9219	1.44957e-006
95.3125	8.45838e-007
95.7031	2.99582e-006
96.0938	4.72351e-006
96.4844	1.23174e-006
96.875	3.30218e-006
97.2656	1.95246e-006
97.6563	3.91622e-006
98.0469	7.56794e-006
98.4375	3.74435e-006
98.8281	4.41331e-006
99.2188	7.0379e-006
99.6094	0.000166631
100	0.00037039
100.391	0.000208031
100.781	5.93317e-006
101.172	5.19902e-006
101.563	1.49353e-006
101.953	3.45324e-006
102.344	1.60223e-006
102.734	2.28508e-006
103.125	8.7796e-007
103.516	3.76508e-006
103.906	4.18335e-006
104.297	5.00962e-006
104.688	3.95765e-006
105.078	1.45712e-006
105.469	3.39061e-006
105.859	4.27549e-006
106.25	1.25522e-006
106.641	1.8535e-006
107.031	2.10198e-006
107.422	1.74519e-006
107.813	1.04149e-006
108.203	2.65183e-006
108.594	3.82343e-006
108.984	4.37196e-006
109.375	1.22146e-006
109.766	2.86265e-006
110.156	3.23691e-006
110.547	3.5029e-006
110.938	2.99139e-006
111.328	3.00416e-006
111.719	6.08892e-007
112.109	3.78471e-006
112.5	3.17381e-007
112.891	1.88956e-006
113.281	3.06919e-006
113.672	3.20658e-006
114.063	1.52017e-006
114.453	3.95878e-006
114.844	1.22962e-006
115.234	5.50198e-006
115.625	4.75058e-006
116.016	2.006e-006
116.406	4.89581e-006
116.797	1.71819e-006
117.188	2.87854e-006
117.578	1.49682e-006
117.969	8.39381e-007
118.359	2.23449e-006
118.75	2.61494e-006
119.141	9.15571e-007
119.531	3.38931e-006
119.922	3.58325e-006
120.313	1.10007e-006
120.703	1.68689e-006
121.094	1.37621e-006
121.484	4.444e-006
121.875	5.30554e-006
122.266	2.9198e-006
122.656	5.44372e-007
123.047	2.0126e-006
123.438	3.4805e-006
123.828	3.86005e-006
124.219	4.8658e-006
124.609	5.2447e-006
125	3.1892e-006
125.391	1.14226e-006
125.781	5.89903e-007
126.172	1.46281e-006
126.563	2.36403e-006
126.953	5.05655e-006
127.344	8.14595e-006
127.734	6.16145e-006
128.125	3.06678e-006
128.516	2.37372e-006
128.906	4.06748e-007
129.297	3.27662e-006
129.688	4.25456e-006
130.078	4.63769e-006
130.469	5.64226e-006
130.859	7.42258e-006
131.25	9.19772e-006
131.641	6.45627e-006
132.031	1.33716e-006
132.422	1.71658e-006
132.813	5.93042e-006
133.203	7.61163e-006
133.594	6.14162e-006
133.984	4.32165e-006
134.375	3.68581e-006
134.766	3.23162e-006
135.156	1.97399e-006
135.547	1.97548e-006
135.938	3.73718e-006
136.328	6.6172e-006
136.719	4.35386e-006
137.109	3.67973e-006
137.5	5.79162e-006
137.891	3.76472e-006
138.281	2.8012e-006
138.672	6.58656e-006
139.063	2.29075e-006
139.453	7.92061e-006
139.844	3.83912e-006
140.234	1.36051e-006
140.625	7.69936e-007
141.016	1.55818e-006
141.406	4.87827e-006
141.797	7.79864e-006
142.188	6.80471e-006
142.578	3.46307e-006
142.969	3.95925e-006
143.359	3.01189e-006
143.75	3.42604e-006
144.141	5.15996e-006
144.531	5.31911e-006
144.922	5.06864e-006
145.313	4.52027e-006
145.703	4.76872e-006
146.094	4.31128e-006
146.484	2.65034e-006
146.875	1.86299e-006
147.266	1.4786e-006
147.656	3.37357e-006
148.047	2.81461e-006
148.438	2.32594e-006
148.828	1.0463e-006
149.219	3.31144e-006
149.609	3.17784e-006
150	7.56839e-006
150.391	7.54915e-006
150.781	3.89163e-006
151.172	4.3541e-006
151.563	3.07711e-006
151.953	3.37986e-006
152.344	2.6448e-006
152.734	7.10735e-007
153.125	3.86962e-006
153.516	3.54339e-006
153.906	2.8029e-006
154.297	2.09473e-006
154.688	3.36867e-006
155.078	3.14071e-006
155.469	1.42075e-006
155.859	2.60388e-006
156.25	8.20594e-006
156.641	6.15271e-006
157.031	3.86906e-006
157.422	2.30679e-006
157.813	2.24096e-006
158.203	2.61817e-006
158.594	7.13954e-006
158.984	4.90904e-006
159.375	2.56282e-006
159.766	3.27163e-006
160.156	7.53277e-006
160.547	9.3675e-006
160.938	5.6131e-006
161.328	6.03221e-006
161.719	3.63919e-006
162.109	1.61596e-006
162.5	3.45904e-006
162.891	3.87685e-006
163.281	2.14621e-006
163.672	3.52684e-006
164.063	8.45206e-006
164.453	7.21948e-006
164.844	2.75863e-006
165.234	1.80147e-006
165.625	5.39149e-007
166.016	7.49068e-006
166.406	1.05821e-005
166.797	5.94011e-006
167.188	1.53637e-006
167.578	2.68197e-006
167.969	3.35195e-006
168.359	7.54192e-007
168.75	2.79426e-006
169.141	1.11522e-006
169.531	2.94001e-006
169.922	5.14919e-006
170.313	5.87257e-006
170.703	1.57907e-006
171.094	3.46562e-006
171.484	1.12686e-005
171.875	6.66643e-006
172.266	4.29215e-006
172.656	4.45942e-006
173.047	2.04992e-007
173.438	1.47768e-006
173.828	9.41747e-007
174.219	2.95096e-006
174.609	4.04391e-006
175	4.01087e-006
175.391	1.37918e-006
175.781	3.26575e-006
176.172	4.56463e-006
176.563	2.7318e-006
176.953	2.28875e-006
177.344	4.35669e-006
177.734	4.22087e-006
178.125	4.39306e-006
178.516	4.92099e-006
178.906	6.58535e-006
179.297	1.9375e-006
179.688	3.24516e-006
180.078	3.41085e-006
180.469	2.82482e-006
180.859	2.23602e-006
181.25	3.0507e-006
181.641	2.2007e-006
182.031	2.73607e-006
182.422	4.47521e-006
182.813	4.35789e-006
183.203	3.7004e-006
183.594	4.56693e-006
183.984	4.69071e-006
184.375	4.75854e-006
184.766	5.38084e-006
185.156	5.1124e-006
185.547	5.97907e-006
185.938	6.45735e-006
186.328	3.05272e-006
186.719	2.97428e-006
187.109	1.80958e-006
187.5	3.81271e-006
187.891	1.78045e-006
188.281	2.00382e-006
188.672	3.19059e-006
189.063	3.2472e-006
189.453	2.35739e-006
189.844	4.49552e-006
190.234	5.73541e-006
190.625	3.77115e-006
191.016	2.84134e-006
191.406	4.44051e-006
191.797	1.65149e-006
192.188	3.34759e-006
192.578	2.31109e-006
192.969	4.31291e-007
193.359	1.50594e-006
193.75	3.68008e-006
194.141	2.84909e-006
194.531	3.65498e-006
194.922	9.6783e-007
195.313	2.23575e-006
195.703	4.41224e-006
196.094	3.41783e-006
196.484	8.79256e-007
196.875	7.21673e-007
197.266	1.91332e-006
197.656	3.07228e-006
198.047	3.7893e-006
198.438	3.46864e-006
198.828	2.49235e-006
199.219	3.57213e-006
199.609	9.19064e-005
200	0.000226777
200.391	0.000138326
200.781	5.44918e-006
201.172	6.27202e-007
201.563	2.61812e-006
201.953	1.11719e-006
202.344	2.62936e-006
202.734	2.41259e-006
203.125	1.66379e-006
203.516	3.9354e-006
203.906	4.23124e-006
204.297	2.96916e-006
204.688	4.30769e-006
205.078	1.85549e-006
205.469	2.82216e-006
205.859	3.03177e-007
206.25	4.75112e-006
206.641	4.70592e-006
207.031	2.66258e-006
207.422	4.16003e-006
207.813	6.76773e-006
208.203	4.94101e-006
208.594	1.96172e-006
208.984	5.7076e-006
209.375	8.21217e-006
209.766	4.36814e-006
210.156	2.57542e-006
210.547	1.4111e-006
210.938	3.91269e-006
211.328	7.07304e-006
211.719	9.98077e-006
212.109	7.3702e-006
212.5	1.96859e-006
212.891	3.07247e-006
213.281	6.92285e-006
213.672	3.98625e-006
214.063	1.02647e-005
214.453	1.78588e-005
214.844	5.6822e-006
215.234	4.8683e-006
215.625	5.12549e-006
216.016	3.49811e-006
216.406	1.09926e-006
216.797	2.51935e-006
217.188	2.47112e-006
217.578	3.42654e-006
217.969	4.01623e-006
218.359	3.02662e-006
218.75	6.29342e-006
219.141	1.07664e-005
219.531	6.56591e-006
219.922	2.83084e-006
220.313	5.79222e-006
220.703	5.29103e-006
221.094	3.25905e-006
221.484	2.2368e-006
221.875	1.79163e-006
222.266	1.70312e-006
222.656	3.30176e-006
223.047	3.46813e-006
223.438	2.4687e-006
223.828	1.93601e-006
224.219	3.28148e-006
224.609	6.95539e-006
225	5.9537e-006
225.391	1.84706e-006
225.781	4.10731e-006
226.172	4.29018e-006
226.563	1.87657e-006
226.953	5.18557e-006
227.344	5.6288e-006
227.734	7.70659e-006
228.125	9.7244e-006
228.516	5.73821e-006
228.906	7.58625e-007
229.297	2.16327e-006
229.688	2.65124e-006
230.078	2.12343e-006
230.469	3.73332e-006
230.859	2.10599e-006
231.25	4.64464e-006
231.641	2.17058e-006
232.031	3.83988e-006
232.422	6.71073e-006
232.813	4.1526e-006
233.203	1.68419e-006
233.594	2.17988e-006
233.984	4.15794e-006
234.375	3.14596e-006
234.766	3.87619e-006
235.156	6.9939e-006
235.547	5.67928e-006
235.938	3.9025e-006
236.328	3.49279e-006
236.719	3.56133e-006
237.109	2.39047e-006
237.5	3.6853e-006
237.891	1.11661e-006
238.281	3.67187e-006
238.672	1.7314e-006
239.063	1.63774e-006
239.453	6.40924e-007
239.844	3.27493e-006
240.234	2.3242e-006
240.625	6.43079e-007
241.016	2.26656e-006
241.406	4.32707e-006
241.797	3.06168e-006
242.188	3.39553e-006
242.578	3.31422e-006
242.969	6.4483e-006
243.359	7.13783e-006
243.75	2.87656e-006
244.141	7.73481e-007
244.531	2.21701e-006
244.922	2.61052e-006
245.313	3.18573e-006
245.703	3.81245e-006
246.094	4.73304e-006
246.484	4.26654e-006
246.875	2.18037e-006
247.266	2.12474e-006
247.656	5.45806e-006
248.047	3.42593e-006
248.438	7.49979e-007
248.828	4.50899e-006
249.219	6.27705e-006
249.609	5.03158e-006
250	7.23362e-006
250.391	2.91196e-006
250.781	4.43826e-006
251.172	3.03201e-006
251.563	5.6522e-006
251.953	4.3497e-006
252.344	4.19727e-006
252.734	4.38025e-006
253.125	1.27456e-006
253.516	2.96341e-006
253.906	1.62505e-006
254.297	1.19982e-006
254.688	1.28167e-006
255.078	4.87953e-006
255.469	4.42766e-006
255.859	2.02821e-006
256.25	3.11997e-006
256.641	2.72223e-006
257.031	6.39866e-006
257.422	6.19794e-006
257.813	2.18023e-006
258.203	6.67943e-006
258.594	6.02755e-006
258.984	2.42651e-006
259.375	2.31731e-006
259.766	4.42118e-006
260.156	3.39377e-006
260.547	2.04835e-006
260.938	5.37421e-007
261.328	8.39603e-007
261.719	1.69186e-006
262.109	2.90782e-006
262.5	2.02986e-006
262.891	2.3832e-006
263.281	4.6066e-006
263.672	4.64743e-006
264.063	1.50983e-006
264.453	1.61356e-006
264.844	1.35193e-006
265.234	1.92757e-006
265.625	2.17898e-006
266.016	2.52816e-006
266.406	3.52759e-006
266.797	3.35779e-006
267.188	2.97366e-006
267.578	2.98997e-006
267.969	2.12262e-006
268.359	1.13195e-006
268.75	3.00511e-006
269.141	1.29416e-006
269.531	4.05593e-006
269.922	4.3538e-006
270.313	4.36208e-006
270.703	3.36772e-006
271.094	3.52294e-006
271.484	3.28697e-006
271.875	2.70196e-006
272.266	4.47341e-006
272.656	5.33726e-006
273.047	4.51132e-006
273.438	2.11149e-006
273.828	2.57331e-006
274.219	9.18686e-007
274.609	2.50691e-006
275	2.70431e-006
275.391	4.75307e-006
275.781	6.18474e-007
276.172	6.01563e-006
276.563	6.59377e-006
276.953	6.02027e-006
277.344	3.4841e-006
277.734	2.98909e-006
278.125	2.29731e-006
278.516	9.10614e-007
278.906	2.33667e-006
279.297	2.88361e-006
279.688	2.35917e-006
280.078	2.95246e-006
280.469	3.44636e-006
280.859	1.93796e-006
281.25	5.65129e-006
281.641	6.64824e-006
282.031	5.21669e-006
282.422	3.86321e-006
282.813	3.22263e-006
283.203	4.64759e-006
283.594	3.01063e-006
283.984	4.11507e-006
284.375	2.92869e-006
284.766	1.22901e-006
285.156	2.2251e-006
285.547	4.28511e-006
285.938	6.93111e-006
286.328	4.66497e-006
286.719	2.29656e-006
287.109	6.58857e-007
287.5	1.59609e-006
287.891	6.81947e-006
288.281	6.08045e-006
288.672	3.47588e-006
289.063	4.00178e-006
289.453	2.06236e-006
289.844	1.47335e-006
290.234	1.2402e-006
290.625	1.91865e-006
291.016	6.45052e-007
291.406	2.89278e-006
291.797	1.8981e-006
292.188	2.71001e-006
292.578	1.19999e-006
292.969	2.9873e-006
293.359	2.4064e-006
293.75	3.72833e-006
294.141	3.91965e-006
294.531	1.6072e-006
294.922	2.56673e-006
295.313	4.79324e-006
295.703	2.51761e-006
296.094	2.86151e-006
296.484	3.69386e-006
296.875	9.02646e-007
297.266	2.85177e-006
297.656	3.68946e-006
298.047	3.7626e-006
298.438	3.00463e-006
298.828	2.21222e-006
299.219	1.41907e-006
299.609	2.95581e-005
300	7.42294e-005
300.391	5.00808e-005
300.781	4.37706e-006
301.172	8.29814e-006
301.563	4.25162e-006
301.953	5.4801e-006
302.344	8.0695e-006
302.734	4.47687e-006
303.125	1.16671e-006
303.516	7.33875e-007
303.906	2.86173e-006
304.297	2.37168e-006
304.688	4.01891e-007
305.078	2.87199e-006
305.469	4.97957e-006
305.859	6.57096e-006
306.25	3.32265e-006
306.641	6.09977e-007
307.031	1.57382e-006
307.422	1.74466e-006
307.813	8.36488e-007
308.203	2.7728e-006
308.594	2.94862e-006
308.984	1.27284e-006
309.375	1.64729e-006
309.766	2.3848e-006
310.156	6.3088e-006
310.547	9.09215e-006
310.938	5.92914e-006
311.328	6.02096e-006
311.719	5.97067e-006
312.109	3.1573e-006
312.5	5.52146e-006
312.891	2.57502e-006
313.281	1.38119e-006
313.672	5.55899e-007
314.063	8.1468e-007
314.453	9.57844e-007
314.844	3.10357e-006
315.234	3.48627e-006
315.625	1.20506e-006
316.016	9.91477e-007
316.406	2.65759e-006
316.797	4.35574e-006
317.188	6.40586e-006
317.578	4.69394e-006
317.969	2.5502e-006
318.359	2.14058e-006
318.75	1.44298e-007
319.141	4.33242e-006
319.531	7.96739e-006
319.922	3.49039e-007
320.313	8.66585e-006
320.703	8.05326e-006
321.094	6.19329e-006
321.484	5.16604e-006
321.875	1.99865e-006
322.266	5.2185e-006
322.656	1.30064e-006
323.047	2.61709e-006
323.438	1.41511e-006
323.828	4.3203e-006
324.219	5.87167e-006
324.609	3.37495e-006
325	2.32049e-006
325.391	2.42623e-006
325.781	1.54514e-006
326.172	7.83825e-007
326.563	1.95924e-006
326.953	5.85416e-006
327.344	5.74842e-006
327.734	2.21737e-006
328.125	3.02654e-006
328.516	1.71023e-006
328.906	1.31965e-006
329.297	1.84542e-006
329.688	4.35735e-006
330.078	5.38413e-006
330.469	5.58841e-006
330.859	3.17581e-006
331.25	1.0843e-006
331.641	4.53225e-007
332.031	3.8103e-007
332.422	1.46581e-006
332.813	3.60288e-006
333.203	4.8359e-006
333.594	2.64249e-006
333.984	2.67223e-006
334.375	3.85168e-006
334.766	3.06658e-006
335.156	3.87049e-007
335.547	6.11477e-007
335.938	2.66111e-006
336.328	3.64332e-006
336.719	1.47904e-006
337.109	1.07748e-006
337.5	1.9699e-006
337.891	2.19584e-006
338.281	2.76155e-006
338.672	1.57801e-006
339.063	3.07468e-006
339.453	1.69935e-006
339.844	2.71352e-006
340.234	2.81897e-006
340.625	2.57663e-006
341.016	3.6861e-006
341.406	1.39077e-006
341.797	2.38634e-006
342.188	4.1692e-006
342.578	2.74315e-006
342.969	3.61173e-006
343.359	2.69082e-006
343.75	3.55444e-006
344.141	3.17529e-006
344.531	2.61462e-006
344.922	1.05532e-006
345.313	1.94082e-006
345.703	1.25532e-006
346.094	3.58993e-006
346.484	5.09998e-006
346.875	2.16927e-006
347.266	1.9818e-006
347.656	1.3255e-006
348.047	5.16918e-007
348.438	2.86151e-006
348.828	3.01504e-006
349.219	3.07187e-006
349.609	1.72452e-006
350	3.67097e-006
350.391	2.06483e-006
350.781	1.28339e-006
351.172	1.65428e-006
351.563	1.56489e-006
351.953	4.59727e-006
352.344	3.59981e-006
352.734	3.37202e-006
353.125	5.45872e-006
353.516	3.06176e-006
353.906	3.22736e-006
354.297	2.65336e-006
354.688	1.1599e-006
355.078	2.35054e-006
355.469	2.43547e-006
355.859	3.47156e-006
356.25	4.51492e-006
356.641	5.3917e-006
357.031	4.43622e-006
357.422	3.30306e-006
357.813	4.59276e-006
358.203	4.30745e-006
358.594	3.5596e-006
358.984	2.67516e-006
359.375	3.21122e-006
359.766	1.89372e-006
360.156	5.84101e-006
360.547	4.72972e-006
360.938	4.198e-006
361.328	1.37079e-006
361.719	4.12949e-006
362.109	3.55332e-006
362.5	1.97477e-006
362.891	1.57807e-006
363.281	3.1722e-006
363.672	3.56742e-006
364.063	6.95583e-006
364.453	7.54105e-006
364.844	3.27985e-006
365.234	3.04733e-006
365.625	4.90837e-006
366.016	3.98917e-006
366.406	2.23575e-006
