	S:1
Hz	Magnitude, N
0	0.000185589
0.390625	0.000149618
0.78125	4.2877e-005
1.17188	1.52824e-005
1.5625	4.64279e-006
1.95313	1.68597e-005
2.34375	4.01572e-005
2.73438	3.28265e-005
3.125	1.759e-005
3.51563	1.90476e-005
3.90625	4.70141e-006
4.29688	1.73029e-005
4.6875	1.93987e-005
5.07813	1.39842e-005
5.46875	1.13182e-005
5.85938	4.24114e-006
6.25	1.16825e-005
6.64063	2.0444e-005
7.03125	2.31671e-005
7.42188	2.62279e-005
7.8125	2.45727e-005
8.20313	1.75564e-005
8.59375	4.31332e-006
8.98438	1.74432e-005
9.375	1.47871e-005
9.76563	5.12195e-006
10.1563	8.92269e-006
10.5469	1.11251e-005
10.9375	1.17801e-005
11.3281	9.08441e-006
11.7188	1.96949e-005
12.1094	1.82361e-005
12.5	2.86448e-006
12.8906	8.26487e-006
13.2813	9.02306e-006
13.6719	3.09097e-006
14.0625	1.03293e-005
14.4531	1.06837e-005
14.8438	1.3746e-005
15.2344	1.71736e-005
15.625	1.43457e-005
16.0156	6.31587e-006
16.4063	1.03839e-005
16.7969	8.78754e-006
17.1875	1.07514e-006
17.5781	2.53099e-006
17.9688	3.83799e-006
18.3594	6.81657e-006
18.75	9.35762e-006
19.1406	6.82061e-006
19.5313	2.17279e-006
19.9219	9.21585e-006
20.3125	1.06945e-005
20.7031	3.99659e-006
21.0938	1.13867e-005
21.4844	8.37573e-006
21.875	2.44329e-005
22.2656	3.05702e-005
22.6563	1.58436e-005
23.0469	1.16106e-005
23.4375	1.66519e-005
23.8281	1.11118e-005
24.2188	1.15388e-005
24.6094	2.03102e-005
25	2.83417e-005
25.3906	1.43905e-005
25.7813	1.38051e-005
26.1719	8.65094e-006
26.5625	1.18427e-005
26.9531	1.78209e-005
27.3438	8.76981e-006
27.7344	2.02159e-005
28.125	1.28419e-005
28.5156	1.22649e-005
28.9063	8.03191e-006
29.2969	3.23584e-006
29.6875	1.00854e-005
30.0781	2.02004e-005
30.4688	2.28652e-005
30.8594	2.32537e-005
31.25	1.39134e-005
