	S:1
Hz	Magnitude, N
0	0.000267614
0.390625	0.000250841
0.78125	0.000195773
1.17188	7.14802e-005
1.5625	3.92098e-005
1.95313	2.10722e-005
2.34375	9.01875e-006
2.73438	7.87452e-006
3.125	1.94491e-005
3.51563	1.15706e-005
3.90625	5.60224e-006
4.29688	9.73562e-006
4.6875	4.94899e-006
5.07813	1.15827e-005
5.46875	1.39372e-005
5.85938	5.07039e-006
6.25	5.22911e-006
6.64063	8.59738e-006
7.03125	3.27758e-006
7.42188	9.98162e-006
7.8125	1.62205e-005
8.20313	1.82154e-005
8.59375	2.5439e-005
8.98438	3.35096e-005
9.375	3.21076e-005
9.76563	3.33465e-005
10.1563	1.80395e-005
10.5469	2.62098e-006
10.9375	1.02223e-005
11.3281	6.94274e-006
11.7188	2.13096e-006
12.1094	6.14141e-006
12.5	1.05129e-005
12.8906	8.94487e-006
13.2813	5.88813e-006
13.6719	4.42087e-006
14.0625	8.08324e-006
14.4531	9.71395e-006
14.8438	6.83851e-006
15.2344	7.35075e-006
15.625	8.06613e-006
16.0156	1.03734e-005
16.4063	1.00396e-005
16.7969	6.48751e-006
17.1875	2.50252e-006
17.5781	1.32882e-005
17.9688	8.83288e-006
18.3594	1.80607e-006
18.75	6.84824e-006
19.1406	6.4066e-006
19.5313	3.20492e-006
19.9219	9.44004e-006
20.3125	9.01334e-006
20.7031	4.30123e-006
21.0938	1.06574e-005
21.4844	7.88775e-006
21.875	1.86564e-005
22.2656	1.93959e-005
22.6563	5.02712e-006
23.0469	5.93285e-006
23.4375	2.06461e-006
23.8281	1.159e-005
24.2188	2.58798e-005
24.6094	2.07095e-005
25	8.65371e-006
25.3906	7.56131e-006
25.7813	7.54209e-006
26.1719	1.28509e-005
26.5625	7.29472e-006
26.9531	6.31074e-006
27.3438	1.07134e-005
27.7344	2.39679e-005
28.125	1.852e-005
28.5156	1.82741e-006
28.9063	6.36044e-006
29.2969	2.83224e-006
29.6875	4.51984e-006
30.0781	7.48704e-006
30.4688	3.66859e-006
30.8594	9.05709e-006
31.25	1.25006e-005
31.6406	1.61062e-006
32.0313	6.49327e-006
32.4219	1.40417e-005
32.8125	1.54839e-006
33.2031	2.22355e-005
33.5938	1.95219e-005
33.9844	4.63383e-006
34.375	1.06664e-005
34.7656	5.2251e-006
35.1563	1.30667e-005
35.5469	1.13019e-005
35.9375	1.04022e-005
36.3281	1.07321e-005
36.7188	9.82982e-006
37.1094	7.63273e-006
37.5	8.06821e-006
37.8906	7.87021e-006
38.2813	4.26836e-006
38.6719	1.50826e-005
39.0625	1.07052e-005
39.4531	2.21839e-006
39.8438	1.4658e-006
40.2344	3.45283e-006
40.625	5.09269e-006
41.0156	3.92067e-007
41.4063	3.16906e-006
41.7969	2.03926e-006
42.1875	6.74038e-006
42.5781	5.2198e-006
42.9688	3.62542e-006
43.3594	3.02767e-006
43.75	1.87584e-006
44.1406	5.21386e-006
44.5313	8.41518e-006
44.9219	6.38827e-006
45.3125	4.47656e-006
45.7031	7.0774e-006
46.0938	9.68598e-006
46.4844	4.24416e-006
46.875	4.37292e-006
47.2656	9.38554e-007
47.6563	8.48914e-006
48.0469	9.79212e-006
48.4375	1.96035e-006
48.8281	1.78595e-006
49.2188	8.13229e-006
49.6094	1.37604e-005
50	3.63234e-005
50.3906	2.63357e-005
50.7813	5.70235e-006
51.1719	1.14617e-005
51.5625	1.35873e-005
51.9531	7.37035e-006
52.3438	1.7243e-006
52.7344	3.09406e-006
53.125	7.82682e-006
53.5156	8.15413e-006
53.9063	2.85084e-006
54.2969	4.3637e-006
54.6875	4.18764e-006
55.0781	1.20594e-006
55.4688	4.81824e-006
55.8594	3.8477e-006
56.25	1.92747e-006
56.6406	3.38648e-006
57.0313	2.73052e-006
57.4219	4.04431e-006
57.8125	7.16905e-006
58.2031	6.96161e-006
58.5938	3.72861e-006
58.9844	5.08208e-007
59.375	3.81654e-006
59.7656	2.50353e-006
60.1563	2.81842e-006
60.5469	3.24929e-006
60.9375	4.99535e-006
61.3281	8.99987e-006
